,protocol,parameter,condition,ICC,good
189,Antisaccade_vertical_SW,BCEA68_HV_deg^2,SD,0.6394983837312059,
190,Antisaccade_vertical_SW,BCEA68_A_deg,WR,0.04130472059982361,
191,Antisaccade_vertical_SW,BCEA68_A_deg,SD,0.9995087327070593,
192,Antisaccade_vertical_SW,BCEA95_HV_deg^2,WR,0.31426511815750785,
193,Antisaccade_vertical_SW,BCEA95_HV_deg^2,SD,0.639498383731206,
194,Antisaccade_vertical_SW,BCEA98_HV_deg^2,WR,0.31426511815750796,
195,Antisaccade_vertical_SW,BCEA98_HV_deg^2,SD,0.6394983837312064,
196,Antisaccade_vertical_SW,P2_HV_%,WR,0.6518860495312329,*
197,Antisaccade_vertical_SW,P2_HV_%,SD,0.7433635688575817,*
198,Antisaccade_vertical_SW,P4_HV_%,WR,0.5028286799947621,
199,Antisaccade_vertical_SW,P4_HV_%,SD,0.6418259476615534,
200,Antisaccade_vertical_SW,fixation_stability_H_%,WR,0.6184231038186585,
201,Antisaccade_vertical_SW,fixation_stability_H_%,SD,0.5943572969260206,
202,Antisaccade_vertical_SW,fixation_stability_V_%,WR,0.1976786745751736,
203,Antisaccade_vertical_SW,fixation_stability_V_%,SD,0.5524535600937582,
204,Antisaccade_vertical_SW,blinks_count_HV_%,WR,-0.16915672315251173,
205,Antisaccade_vertical_SW,blinks_count_HV_%,SD,0.9346295675494467,
206,Antisaccade_vertical_SW,blinks_percentage_HV_%,WR,0.14999774985336534,
207,Antisaccade_vertical_SW,blinks_percentage_HV_%,SD,0.8111693069073169,
208,Antisaccade_vertical_SW,blinks_frequency_HV_Hz,WR,-0.16884498856119023,
209,Antisaccade_vertical_SW,blinks_frequency_HV_Hz,SD,0.9343599699095279,
210,Antisaccade_vertical_SW,blinks_duration_HV_s,WR,0.14976819715441575,
211,Antisaccade_vertical_SW,blinks_duration_HV_s,SD,0.8111877029253549,
212,Antisaccade_vertical_SW,drifts_count_HV_s,WR,0.4801110312523235,
213,Antisaccade_vertical_SW,drifts_count_HV_s,SD,0.08199643493761129,
214,Antisaccade_vertical_SW,drifts_percentage_HV_%,WR,0.6310837948433681,
215,Antisaccade_vertical_SW,drifts_percentage_HV_%,SD,0.30324788732863095,
216,Antisaccade_vertical_SW,drifts_frequency_HV_Hz,WR,0.6734931128607213,
217,Antisaccade_vertical_SW,drifts_frequency_HV_Hz,SD,0.4604805108976795,
218,Antisaccade_vertical_SW,drifts_duration_HV_s,WR,0.5533770691601131,
219,Antisaccade_vertical_SW,drifts_duration_HV_s,SD,0.8530803545821555,
220,Antisaccade_vertical_SW,saccades_count_HV_s,WR,0.6265435753272401,
